Neuquén	Neuquen	-38.95161	-68.0591	AR	242092
Morteros	Morteros	-30.71164	-61.99862	AR	15129
Monteros	Monteros	-27.16741	-65.49832	AR	23771
Mendoza	Mendoza	-32.89084	-68.82717	AR	876884
Marcos Juárez	Marcos Juarez	-32.6978	-62.10672	AR	24226
Machagai	Machagai	-26.92614	-60.04955	AR	28070
Lincoln	Lincoln	-34.86649	-61.5302	AR	41808
Libertador General San Martín	Libertador General San Martin	-23.80644	-64.78757	AR	49267
Las Breñas	Las Brenas	-27.08966	-61.08161	AR	26955
La Rioja	La Rioja	-29.41105	-66.85067	AR	162620
La Falda	La Falda	-31.08841	-64.48987	AR	15112
La Calera	La Calera	-31.34377	-64.33529	AR	24796
Laboulaye	Laboulaye	-34.12662	-63.39119	AR	19908
Junín	Junin	-34.58382	-60.94332	AR	85007
Joaquín V. González	Joaquin V. Gonzalez	-25.08333	-64.18333	AR	19185
Jesús María	Jesus Maria	-30.98153	-64.09424	AR	26825
Granadero Baigorria	Granadero Baigorria	-32.85683	-60.71754	AR	32427
Gobernador Gálvez	Gobernador Galvez	-33.03016	-60.64045	AR	74650
General Roca	General Roca	-39.03333	-67.58333	AR	73212
General Pinedo	General Pinedo	-27.31667	-61.28333	AR	15741
General Pico	General Pico	-35.65662	-63.75682	AR	57029
General Enrique Mosconi	General Enrique Mosconi	-22.59588	-63.81255	AR	19811
Gálvez	Galvez	-32.02927	-61.22103	AR	18374
Firmat	Firmat	-33.45937	-61.4832	AR	18294
Famaillá	Famailla	-27.05413	-65.40329	AR	30951
Esquel	Esquel	-42.91147	-71.31947	AR	28486
Esperanza	Esperanza	-31.4488	-60.93173	AR	35885
Embarcación	Embarcacion	-23.21003	-64.09965	AR	23961
Embalse	Embalse	-32.18	-64.41809	AR	15900
El Bolsón	El Bolson	-41.96051	-71.53336	AR	15537
Diamante	Diamante	-32.06641	-60.63837	AR	19545
Deán Funes	Dean Funes	-30.42036	-64.34984	AR	20164
Cutral-Có	Cutral-Co	-38.93424	-69.23052	AR	47380
Cruz del Eje	Cruz del Eje	-30.72644	-64.80387	AR	28166
Crespo	Crespo	-32.02873	-60.30658	AR	18296
Cosquín	Cosquin	-31.24508	-64.46563	AR	19070
Coronel Suárez	Coronel Suarez	-37.45467	-61.93343	AR	27000
Coronda	Coronda	-31.97263	-60.91983	AR	16975
Córdoba	Cordoba	-31.4135	-64.18105	AR	1428214
Comodoro Rivadavia	Comodoro Rivadavia	-45.86413	-67.49656	AR	140850
Cipolletti	Cipolletti	-38.93392	-67.99032	AR	75078
Cinco Saltos	Cinco Saltos	-38.82225	-68.06293	AR	19819
Chivilcoy	Chivilcoy	-34.89566	-60.01667	AR	54514
Chimbas	Chimbas	-31.48333	-68.53333	AR	73829
Chilecito	Chilecito	-29.16195	-67.4974	AR	42248
Charata	Charata	-27.21438	-61.18795	AR	27813
Chacabuco	Chacabuco	-34.64167	-60.47389	AR	34587
Centenario	Centenario	-38.82955	-68.1318	AR	28956
Caucete	Caucete	-31.65179	-68.28105	AR	33609
Catriel	Catriel	-37.87907	-67.7956	AR	15169
Castelli	Castelli	-25.94679	-60.61947	AR	36588
Casilda	Casilda	-33.04417	-61.16806	AR	32002
Carcarañá	Carcarana	-32.85679	-61.15331	AR	15619
Capitán Bermúdez	Capitan Bermudez	-32.82262	-60.71852	AR	27060
Cañada de Gómez	Canada de Gomez	-32.81636	-61.39493	AR	36000
Caleta Olivia	Caleta Olivia	-46.43929	-67.52814	AR	36077
Bell Ville	Bell Ville	-32.62591	-62.68873	AR	35105
Bella Vista	Bella Vista	-27.03424	-65.30196	AR	15126
Bahía Blanca	Bahia Blanca	-38.71959	-62.27243	AR	276546
Arroyo Seco	Arroyo Seco	-33.15489	-60.50863	AR	20008
Arroyito	Arroyito	-31.42022	-63.05002	AR	19577
Añatuya	Anatuya	-28.46064	-62.83472	AR	20261
Alta Gracia	Alta Gracia	-31.65292	-64.42826	AR	40384
Allen	Allen	-38.97736	-67.82714	AR	26083
Alderetes	Alderetes	-26.81667	-65.13333	AR	38466
Albardón	Albardon	-31.43722	-68.52556	AR	20413
